# Time (s)
0.036166
# Mem(KB) tseries,means,norms,df,dg,profile,profileIndex,Total(MB)
158.08,156.52,156.52,156.52,156.52,284.52,284.52,1.32
# Profile Length
20035
# i,tseries,profile,index
161,-16.35500000000000043,12.29637361897176362,8269
162,-18.03800000000000026,12.36105366088784940,8269
163,-16.62399999999999878,12.43009040014295508,8271
164,-15.12299999999999933,12.36543291236370479,8272
165,-18.14799999999999969,12.32358752882604946,8272
166,-16.84199999999999875,12.26038818595310076,8274
167,-16.61100000000000065,12.17786489496449853,8275
168,-17.13599999999999923,12.12647962513418243,8275
169,-17.24200000000000088,12.08859381679719824,8276
170,-18.54400000000000048,12.08115179313692700,8277
171,-20.42000000000000171,12.09732612860810441,8278
172,-20.78800000000000026,12.12096218426404093,8279
173,-18.99800000000000111,12.21587042345585949,8279
174,-19.82999999999999829,12.33449924384816576,8280
175,-20.97200000000000131,12.38916037923788238,8281
176,-23.01399999999999935,12.42094432328242348,8282
177,-24.45100000000000051,12.49342876882316133,8283
178,-23.68799999999999883,12.54489506637898977,12890
179,-20.98100000000000165,12.44754944383321416,12891
180,-22.40599999999999881,12.33835681669819806,12892
181,-22.72400000000000020,12.24941844636454569,12893
182,-22.73199999999999932,12.26842966101303389,12894
183,-20.67599999999999838,12.21549458933627541,12895
184,-19.42200000000000060,12.17450188545041811,12896
185,-14.51999999999999957,12.11704918231633066,12897
186,-6.25969999999999960,12.10977185534238210,12898
187,-6.42520000000000024,12.15123279321294270,12899
188,-4.55830000000000002,12.19189402566887814,12900
189,-1.45690000000000008,12.22368476426074579,12901
190,-1.22239999999999993,12.22449839859476661,12902
191,0.20977999999999999,12.19994486391763644,12903
192,1.77879999999999994,12.16440000454460346,12904
193,3.13120000000000021,12.14383282188336644,12905
194,4.01360000000000028,12.19818951898953507,6572
195,5.39609999999999967,12.07344345377121719,6573
196,4.55820000000000025,11.93520956601168415,6574
197,4.57920000000000016,11.87790056259227356,6575
198,4.44760000000000044,11.88313051604489523,6576
199,3.37500000000000000,11.92269285861172889,6577
200,-1.85489999999999999,11.94459094706466651,6578
201,-4.76349999999999962,11.96993319522474053,6579
202,-6.38229999999999986,11.99753516415387367,6580
203,-7.47630000000000017,12.09488051962483546,6581
204,-7.03859999999999975,12.27799664608969543,6582
205,-5.51769999999999960,12.54302124573228738,6583
206,-5.79600000000000026,12.99803617267922107,6584
207,-5.21239999999999970,13.17595059155863702,1034
208,-2.87089999999999979,13.12119209088735694,17931
209,-3.43210000000000015,12.85096982625172579,17931
210,-1.68130000000000002,12.64355573758827411,17932
211,-0.29332999999999998,12.50440027770468809,17933
212,-0.02582900000000000,12.41416603961589971,17935
213,0.15772000000000000,12.32746723592240201,17936
214,-0.36370000000000002,12.26012054597320322,17937
215,-0.52198999999999995,12.17464999572961659,17938
216,-3.99630000000000019,12.11461033940735810,17939
217,-9.29049999999999976,12.07459777405689572,17940
218,-15.19699999999999918,12.07642542629678850,17941
219,-15.02500000000000036,12.07324823949733883,17942
220,-13.37800000000000011,12.08244931287215707,17943
221,-13.47000000000000064,12.08682816835909613,17944
222,-12.32900000000000063,12.11097254323186334,17945
223,-11.90000000000000036,12.14423805323013639,17946
224,-11.73000000000000043,12.17770211406086212,17947
225,-12.40399999999999991,12.21367520750971458,17948
226,-10.38400000000000034,12.15758436804900633,17949
227,-10.10500000000000043,12.10728160376357287,17950
228,-8.44100000000000072,12.12143094629024986,17951
229,-8.39460000000000051,12.21754777486106924,17952
230,-7.73360000000000003,12.31713533117567039,17953
231,-7.96300000000000008,12.44186389153332506,17954
232,-9.17910000000000004,12.55528645140264565,19907
233,-8.87390000000000079,12.41161528157656413,19908
234,-8.28190000000000026,12.26972497049153787,19909
235,-8.12139999999999951,12.20539971103387167,19910
236,-7.83520000000000039,12.25086206852952664,19911
237,-7.90779999999999994,12.37012930864832860,19912
238,-6.72630000000000017,12.46358126708846825,19913
239,-4.83230000000000004,12.60067735774202724,19914
240,-4.63900000000000023,12.75252212146475372,19915
241,-5.36770000000000014,12.88953367907203074,19916
242,-5.00229999999999997,12.87003318335194457,19917
243,-2.62130000000000019,13.06249041662663402,19918
244,-3.20509999999999984,12.93473085449921456,121
245,-2.76259999999999994,12.85388235327983075,122
246,-2.38090000000000002,12.78475802154744301,122
247,-4.25070000000000014,12.76610106366937103,123
248,-9.16670000000000051,12.80975444377116368,124
249,-8.62909999999999933,12.85474251900805243,125
250,-10.22000000000000064,12.89664710437859441,126
251,-6.04089999999999971,12.93246862507475470,127
252,-4.91420000000000012,12.98655832615291494,128
253,-1.19920000000000004,13.04268333615570086,129
254,-1.37820000000000009,13.12025136117435054,760
255,-1.23100000000000009,13.07291648501144721,761
256,1.27709999999999990,13.04869754890355615,762
257,2.26100000000000012,12.95697549742133781,763
258,4.66629999999999967,12.82845371843149174,764
259,3.27130000000000010,12.68767762179967740,765
260,5.62769999999999992,12.51862538078462528,766
261,4.65409999999999968,12.29943515970150614,767
262,6.13590000000000035,12.12019279363483015,768
263,-0.34736000000000000,11.90875301031469569,769
264,-6.27799999999999958,11.79044416415317720,770
265,-5.60379999999999967,11.73676218224374779,771
266,-6.58110000000000017,11.66459715885257431,772
267,-6.06510000000000016,11.60648577284307770,773
268,-6.78420000000000023,11.54288784735808093,774
269,-5.06669999999999998,11.48485450370798766,775
270,-5.24490000000000034,11.43187705020321765,776
271,-2.02870000000000017,11.40279864189984949,777
272,-3.68159999999999998,11.32746161968168153,778
273,-0.39685999999999999,11.27223977883676298,779
274,-2.26109999999999989,11.21267300964295544,780
275,0.40011000000000002,11.22581829103573092,781
276,-3.20759999999999978,11.26455086764733693,782
277,-3.61050000000000004,11.35398463101115496,783
278,-7.66030000000000033,11.41956376155862429,784
279,-9.92549999999999955,11.45715864800089889,785
280,-16.31599999999999895,11.48271899662274009,786
281,-20.21999999999999886,11.49028587351336306,787
282,-25.41100000000000136,11.47874935465872959,788
283,-24.54899999999999949,11.41493517863204055,789
284,-24.57199999999999918,11.37490737527249784,790
285,-25.02400000000000091,11.33729113882486139,791
286,-25.41900000000000048,11.31066018090537639,792
287,-25.18700000000000117,11.29466043027425748,793
288,-25.87099999999999866,11.27726198382320533,794
289,-24.32600000000000051,11.26274551695451720,795
290,-25.01999999999999957,11.24678564799062030,796
291,-25.16900000000000048,11.24209073802863834,797
292,-24.53600000000000136,11.22304916376632278,798
293,-23.71900000000000119,11.22691422405714867,799
294,-23.95599999999999952,11.21561553430207958,800
295,-25.23300000000000054,11.19800241031410337,801
296,-25.60200000000000031,11.18392781494103261,802
297,-25.58099999999999952,11.15980195517300189,803
298,-25.91700000000000159,11.16403243247911092,804
299,-26.18400000000000105,11.20324112802924077,805
300,-25.36199999999999832,11.27344251197211911,806
301,-27.87900000000000134,11.43073389767561032,807
302,-30.69399999999999906,11.43161501644789091,809
303,-30.63299999999999912,11.15438478660216326,810
304,-16.26000000000000156,10.96016814433493636,811
305,-11.76699999999999946,10.97165606416601236,812
306,-12.83099999999999952,10.99069474103226263,813
307,-16.76200000000000045,11.00844390918440929,814
308,-21.73900000000000077,11.02162918026374783,815
309,-20.46999999999999886,11.02379744643305237,816
310,-16.95899999999999963,11.02323256780899818,817
311,-19.65299999999999869,11.01337948362884056,818
312,-14.71299999999999919,11.00533318125497217,819
313,-13.18999999999999950,11.01144848438927504,820
314,-12.16099999999999959,11.01844286968785802,821
315,-12.57099999999999973,11.02104997950118914,822
316,-16.15599999999999881,11.03142119546194166,823
317,-16.02599999999999980,11.03101411636287388,824
318,-14.82300000000000040,11.02480675690696366,825
319,-13.36299999999999955,11.03240227619085978,826
320,-13.42099999999999937,11.04918375983303491,827
321,-18.82900000000000063,11.05433447149319370,828
322,-17.41000000000000014,11.05194718365366846,829
323,-19.92699999999999960,11.05260643435208046,830
324,-19.32600000000000051,11.05188855095349254,831
325,-18.16600000000000037,11.04716285761453243,832
326,-17.92599999999999838,11.04048162100174935,833
